E62,PSIT,P2,1919,{SIT9}=0.9;{SIT1&SIT2&SIT3&SIT4&SIT5&SIT6&SIT7&SIT8&SIT9&SIT10&SIT11&SIT12&SIT13&SIT14&SIT15&SIT16&SIT17&SIT18&SIT19&SIT20&STDD&STDGW&STD1&STD2&STD3&STD4&STD5&STD6&STD7&STD8&STD9&STD10&STD11&STD12&STD13&STD14&STD15&STD16&STD17&STD18&STD19&STD20}=0.1
E63a,PM,P2,1919,{SIT9&STD9}=0.582;{SIT10&SITGW&STD10&STDGW}=0.218;\Omega=0.2
E63b,PM,P2,2061,{SIT9&STD9}=0.664;{SIT10&SITGW&STD10&STDGW}=0.136;\Omega=0.2
E70,PSTD,P2,2061,{STD9}=0.9;{SITD&SITGW&SIT1&SIT2&SIT3&SIT4&SIT5&SIT6&SIT7&SIT8&SIT9&SIT10&SIT11&SIT12&SIT13&SIT14&SIT15&SIT16&SIT17&SIT18&SIT19&SIT20&STD1&STD2&STD3&STD4&STD5&STD6&STD7&STD8&STD9&STD10&STD11&STD12&STD13&STD14&STD15&STD16&STD17&STD18&STD19&STD20}=0.1
E71a,PM,P2,2061,{SIT9&STD9}=0.591;{SIT10&SITGW&STD10&STDGW}=0.209;\Omega=0.2
E71b,PM,P2,2077,{SIT9&STD9}=0.582;{SIT10&SITGW&STD10&STDGW}=0.218;\Omega=0.2
E73a,PM,P2,2122,{SIT9&STD9}=0.458;{SIT13&STD13}=0.342;\Omega=0.2
E73b,PM,P2,2125,{SIT9&STD9}=0.465;{SIT13&STD13}=0.335;\Omega=0.2
E74,PSIT,P2,2125,{SIT9}=0.9;{SIT1&SIT2&SIT3&SIT4&SIT5&SIT6&SIT7&SIT8&SIT9&SIT10&SIT11&SIT12&SIT13&SIT14&SIT15&SIT16&SIT17&SIT18&SIT19&SIT20&STDD&STDGW&STD1&STD2&STD3&STD4&STD5&STD6&STD7&STD8&STD9&STD10&STD11&STD12&STD13&STD14&STD15&STD16&STD17&STD18&STD19&STD20}=0.1
E75a,PM,P2,2125,{SIT9&STD9}=0.447;{SIT13&STD13}=0.353;\Omega=0.2
E75b,PM,P2,2129,{SIT9&STD9}=0.458;{SIT13&STD13}=0.342;\Omega=0.2
E76,PSTD,P2,2129,{STD9}=0.9;{SITD&SITGW&SIT1&SIT2&SIT3&SIT4&SIT5&SIT6&SIT7&SIT8&SIT9&SIT10&SIT11&SIT12&SIT13&SIT14&SIT15&SIT16&SIT17&SIT18&SIT19&SIT20&STD1&STD2&STD3&STD4&STD5&STD6&STD7&STD8&STD9&STD10&STD11&STD12&STD13&STD14&STD15&STD16&STD17&STD18&STD19&STD20}=0.1
E77a,PM,P2,2129,{SITD&STDD}=0.555;{SIT3&SITGW&STD3&STDGW}=0.245;\Omega=0.2
E77b,PM,P2,2304,{SIT9&STD9}=0.447;{SIT13&STD13}=0.353;\Omega=0.2
E78,PE,P2,2440,{T}=0.8;\Omega=0.2
